Company,Country,Ticker,Bitcoin_Holdings
MicroStrategy,USA,MSTR,402100
Marathon Digital,USA,MARA,34794
Galaxy Digital,Canada,BPRHF,15449
Riot Platforms,USA,RIOT,10928
Tesla,USA,TSLA,9720
Coinbase,USA,COIN,9480
Hut 8,USA,HUT,9110
Cleanpark,USA,CLSK,8701
"Block (Square)",USA,SQ,8363
Boyaa,"Hong Kong",0434.HK,3183
Bitcoin Group SE,Germany,BTGGF,3114
Hive Digital,Canada,HIVE,2624
Exodus,USA,EXOD,1990
Nexon,Japan,NEXOF,1717
Semler Scientific,USA,SMLR,1570
Cifer Mining,USA,CIFR,1428
Bitfarms,Canada,BITF,1188
Aker ASA,Norway,AKER,1170
Brooker Group,Thailand,BROOK,1150
Metaplanet,Japan,3350,1142
Canaan,Singapore,CAN,1231
Fold,USA,FLD,1000
Meitu,China,HKD,941
Bit Digital,USA,BTBT,781
Alliance Resource Partners,USA,ARLP,425
Samara Asset Group,Malta,SRAG,525
MercadoLibre,Argentina,MELI,413
DMG Blockchain,Canada,DMGI,399
"Net Holding A. Sirketi",Turkey,3350.T,352
Neptune Digital Assets,Canada,NPPTF,349
Jasmine International,Thailand,JAS.BK,334
Advanced Bitcoin Tech,Germany,ABT,254
Phunware,USA,PHUN,227
Remixpoint,Japan,3825.JP,215
DEFI Technologies,USA,DEFI,204
Genius Group,USA,GNS,172
LM Funding America,USA,LMFA,160
LQwD FinTech,Canada,LQWDF,151
Banxa Holdings,Australia,BNXAF,136
DigitalX,Australia,DGGXF,115
BIGG Digital Assets,Canada,BBKCF,101
"Coinshares Int'l","Channel Isl",CS.ST,93
BTCS Inc,USA,BTCS,90
Digihost Technology,Canada,DGHI,81
Canada Computational,Canada,SATO,68
Frmo,USA,FRMO,63
Mogo Inc.,Canada,MOGO,50
Cathedra Bitcoin,Canada,CBIT,48
WonderFi,Canada,WNDR,47
Linekong Interactive,"Hong Kong",8267.HK,44
Sato Technologies,USA,CCPUF,43
OneMedNet,USA,ONMD,27
Metromile,USA,MILE,25
Vinanz,UK,BTC.AQ,24
Core Scientific,USA,CORZ,21
Gryphon Digital Mining,USA,GRYP,17
Kontrol Technologies,Canada,KNR,15
The Blockchain Group,France,ALTBG,15
Globant,Argentina,GLOB,10
Jetking,India,JETKINGQ,5
Stronghold Digital,USA,SDIG,4
Rumble,USA,RUM,"Announced plan"
Cosmos Health,Greece,COSM,"Announced plan"
Bitcoin Depot,USA,BTM,"Announced plan"
LQR House,USA,LQR,"Announced plan"
Jiva Technologies,,"Announced plan"
Hoth Therapeutics,USA,HOTH,"Announced plan"
Thumbzup Media,USA,TZUP,"Announced plan"
Acurx Pharmaceuticals,USA,ACXP,"Announced plan"
"SOS Ltd - $50 million",China,SOS,"Announced plan"
Enlivex,Israel,ENLV,"Announced plan"
Iris Energy,Australia,IREN,"BTC miner"
Bitdeer,"Hong Kong",BTDR,"BTC miner"
Greenidge,USA,GREE,"BTC miner"
Soluna Holdings,USA,SLNH,"BTC miner"
Bit Mining,USA,BTCM,"BTC miner"
Griid,USA,GRDI,"BTC miner"
Mawson Infrastructure,USA,MIGI,"BTC miner"
Northern Data AG,Germany,NB2,"BTC miner"
Applied Digital,USA,APLD,"BTC miner"
Integrated Ventures,USA,INTV,"BTC miner"
TeraWulf,USA,WULF,"BTC miner"
Deutsche Telekom,Germany,-,"BTC miner"
