Company,Country,Ticker,Number of Bitcoin
MicroStrategy,USA,MSTR,447470
Marathon Digital,USA,MARA,44394
Riot Platforms,USA,RIOT,17429
Hut 8,USA,HUT,10096
Tesla,USA,TSLA,9720
Coinbase,USA,COIN,9480
Cleanspark,USA,CLSK,9297
Block (Square),USA,SQ,8363
Galaxy Digital,Canada,GLXY,5400
Boyaa,Hong Kong,0434.HK,3183
Bitcoin Group SE,Germany,BTGGF,3114
Hive Digital,Canada,HIVE,2713
Semler Scientific,USA,SMLR,2084
Exodus,USA,EXOD,1900
Metalpha,Japan,3350,1761
Nexon,Japan,NEXON,1717
BitfUFU,Singapore,FUFU,1464
Cipher Mining,USA,CIFR,1383
Argo Blockchain,UK,ARB,1170
Aker ASA,Norway,AKER,1170
Brooker Group,UK,BROOK,1170
Fold,USA,FLDD,1000
Bitfarms,Canada,BITF,870
Bit Digital,USA,BTBT,813
SOS Ltd,China,SOS,675
Bitdeer,Singapore,BTDR,575
Samara Asset Group,USA,SRAG,525
Alliance Resource Partners,USA,ARLP,457
DMG Blockchain,Canada,DMGI,423
Mercadolibre,Argentina,MELI,413
Cango,China,CANG,364
Nano Labs,USA,NA,360
Net Holding A. Sirketi,Turkey,3350.T,350
Neptune Digital,Canada,NPPTF,349
Jasmine International,Thailand,JAS.BK,334
Remixpoint,Japan,3825.JP,300
Advanced Bitcoin Tech,Germany,ABT,254
KULR Technology Group,USA,KULR,217
Genius Group,Singapore,GNS,214
DEFI Technologies,Canada,DEFTF,204
LQWD FinTech,Canada,LQWDF,151
LM Funding America,USA,LMFA,142
Banxa,Australia,BNXAF,136
DigitalX,Australia,DGBXF,115
BIGG Digital Assets,Canada,BBKCF,101
Coinshares Int'l,UK,CS.ST,93
BTCS Inc,USA,BTCS,90
Diginoist Technology,Canada,DGHI,81
Winalnd Holdings,Canada,WEQX,77
FRMO,USA,FRMO,63
Mogo Inc.,Canada,MOGO,50
Cathedra Bitcoin,Canada,CBIT,48
WonderFi,Canada,WNDR,47
Linkeong Interactive,Hong Kong,8267.HK,44
Core Scientific,USA,CORZ,42
The Blockchain Group,France,ALTBG,40
Sato Technologies,Canada,CCPUF,36
OneMedNet,USA,ONMD,27
Vinanz,USA,BTC.AQ,24
Kontrol Technologies,Canada,KNR,15
NameSil,Canada,URL.CN,14
Jetking,USA,JETKINGQ,12
Bitcoin Depot,USA,BTM,10
Gryphon Digital Mining,USA,GRYP,10
Globant,Argentina,GLOB,10
Bitcoin Well,Canada,BTCW.V,8
Stronghold Digital,USA,SDIG,4
LEEF Brands,Canada,LEEF,4
Sphere 3D,Canada,ANY,3
Argo Blockchain,UK,ARBK,3
