Company,Country,Ticker,Bitcoin_Holdings,AUM_USD
BlackRock iShares Bitcoin,USA,IBIT,496856,48691888000
Grayscale Bitcoin,USA,GBTC,215517,21120666000
Fidelity WiseOrigin Bitcoin,USA,FBTC,197815,19385870000
ARK 21Shares Bitcoin,USA,ARKB,48822,4784556000
Bitwise Bitcoin ETF,USA,BITB,41019,4019862000
Grayscale Bitcoin Mini Trust,USA,BTC,37034,3629332000
VanEck Bitcoin Trust,USA,HODL,13689,1341522000
Valkyrie Bitcoin Fund,USA,BRRR,9294,910812000
Invesco Galaxy Bitcoin,USA,BTCO,8874,869652000
Franklin Bitcoin ETF,USA,EZBC,7526,737548000
WisdomTree Bitcoin,USA,BTCW,2749,269402000
Hashdex Bitcoin ETF,USA,DEFI,148,14504000
